bgc	BGC of	coculture	LFC
Bc_Ga0417192_01_rn01	Bcer	Pairwise with Fjoh	-0.371990410852385
Bc_Ga0417192_01_rn02	Bcer	Pairwise with Fjoh	-0.0428669825100613
Bc_Ga0417192_01_rn03	Bcer	Pairwise with Fjoh	0.355372632270609
Bc_Ga0417192_01_rn04	Bcer	Pairwise with Fjoh	-0.0737492100636302
Bc_Ga0417192_01_rn05	Bcer	Pairwise with Fjoh	0.227359722009306
Bc_Ga0417192_01_rn06	Bcer	Pairwise with Fjoh	0.204714972258058
Bc_Ga0417192_01_rn07	Bcer	Pairwise with Fjoh	0.0876170546084438
Bc_Ga0417192_01_rn08	Bcer	Pairwise with Fjoh	0.218873147315934
Bc_Ga0417192_01_rn09	Bcer	Pairwise with Fjoh	-0.458787922503822
Bc_Ga0417192_01_rn10	Bcer	Pairwise with Fjoh	0.0811610582462158
Bc_Ga0417192_01_rn11	Bcer	Pairwise with Fjoh	0.224831756003274
Bc_Ga0417192_01_rn12	Bcer	Pairwise with Fjoh	0.0182135344290359
Bc_Ga0417192_01_rn13	Bcer	Pairwise with Fjoh	0.310907671409992
Bc_Ga0417192_01_rn14	Bcer	Pairwise with Fjoh	0.00924990371972071
Bc_Ga0417192_01_rn15	Bcer	Pairwise with Fjoh	0.218412081957901
Bc_Ga0417192_01_rn16	Bcer	Pairwise with Fjoh	0.210275707650161
Bc_Ga0417192_01_rn17	Bcer	Pairwise with Fjoh	-0.203199446738389
Bc_Ga0417192_01_rn18	Bcer	Pairwise with Fjoh	-0.0225037934208591
Bc_Ga0417192_01_rn19	Bcer	Pairwise with Fjoh	0.0248357389322116
Bc_Ga0417192_01_rn20	Bcer	Pairwise with Fjoh	0.100826346484779
Bc_Ga0417192_01_rn21	Bcer	Pairwise with Fjoh	0.29688091959882
Bc_Ga0417192_01_rn22	Bcer	Pairwise with Fjoh	0.0662684593364692
Bc_Ga0417192_01_rn23	Bcer	Pairwise with Fjoh	-0.0402476358085043
Bc_Ga0417192_01_rn24	Bcer	Pairwise with Fjoh	-0.155848931517077
Bc_Ga0417192_01_rn25	Bcer	Pairwise with Fjoh	0.00914198706101315
Bc_Ga0417192_01_rn26	Bcer	Pairwise with Fjoh	-0.015889265097648
Bc_Ga0417192_01_rn27	Bcer	Pairwise with Fjoh	0.188562144833399
Bc_Ga0417192_01_rn28	Bcer	Pairwise with Fjoh	-0.0636524723643219
Bc_Ga0417192_01_rn29	Bcer	Pairwise with Fjoh	0.0242587474488989
Bc_Ga0417192_01_rn30	Bcer	Pairwise with Fjoh	0.178257667905182
Bc_Ga0417192_01_rn31	Bcer	Pairwise with Fjoh	0.146083401834629
Bc_Ga0417192_01_rn32	Bcer	Pairwise with Fjoh	-0.174106928289658
Bc_Ga0417192_01_rn33	Bcer	Pairwise with Fjoh	0.00327085588902077
Bc_Ga0417192_01_rn34	Bcer	Pairwise with Fjoh	-0.145473534061961
Bc_Ga0417192_01_rn35	Bcer	Pairwise with Fjoh	-0.215588005991441
Bc_Ga0417192_01_rn36	Bcer	Pairwise with Fjoh	-0.173012591104094
Bc_Ga0417192_01_rn37	Bcer	Pairwise with Fjoh	-0.107642376499837
Bc_Ga0417192_01_rn38	Bcer	Pairwise with Fjoh	-0.255114397286682
Bc_Ga0417192_02_rn01	Bcer	Pairwise with Fjoh	-0.084472565199205
Bc_Ga0417192_02_rn02	Bcer	Pairwise with Fjoh	-0.153389402592077
Bc_Ga0417192_02_rn03	Bcer	Pairwise with Fjoh	-0.0880031674072391
Bc_Ga0417192_02_rn04	Bcer	Pairwise with Fjoh	-0.109253784289715
Bc_Ga0417192_03_rn01	Bcer	Pairwise with Fjoh	-0.136185684871731
Bc_Ga0417192_03_rn02	Bcer	Pairwise with Fjoh	-0.00327085588902077
Bc_Ga0417192_01_rn01	Bcer	Pairwise with Pkor	-0.352316707458243
Bc_Ga0417192_01_rn02	Bcer	Pairwise with Pkor	1.75702820784393
Bc_Ga0417192_01_rn03	Bcer	Pairwise with Pkor	1.50508247436127
Bc_Ga0417192_01_rn04	Bcer	Pairwise with Pkor	0.167062092948499
Bc_Ga0417192_01_rn05	Bcer	Pairwise with Pkor	1.60815600041389
