bgc	BGC of	coculture	LFC
Bc_Ga0417192_01_rn01	Bcer	Pairwise with Fjoh	-0.371990411
Bc_Ga0417192_01_rn02	Bcer	Pairwise with Fjoh	-0.042866983
Bc_Ga0417192_01_rn03	Bcer	Pairwise with Fjoh	0.355372632
Bc_Ga0417192_01_rn04	Bcer	Pairwise with Fjoh	-0.07374921
Bc_Ga0417192_01_rn05	Bcer	Pairwise with Fjoh	0.227359722
Bc_Ga0417192_01_rn06	Bcer	Pairwise with Fjoh	0.204714972
Bc_Ga0417192_01_rn07	Bcer	Pairwise with Fjoh	0.087617055
Bc_Ga0417192_01_rn08	Bcer	Pairwise with Fjoh	0.218873147
Bc_Ga0417192_01_rn09	Bcer	Pairwise with Fjoh	-0.458787923
Bc_Ga0417192_01_rn10	Bcer	Pairwise with Fjoh	0.081161058
Bc_Ga0417192_01_rn11	Bcer	Pairwise with Fjoh	0.224831756
Bc_Ga0417192_01_rn12	Bcer	Pairwise with Fjoh	0.018213534
Bc_Ga0417192_01_rn13	Bcer	Pairwise with Fjoh	0.310907671
Bc_Ga0417192_01_rn14	Bcer	Pairwise with Fjoh	0.009249904
Bc_Ga0417192_01_rn15	Bcer	Pairwise with Fjoh	0.218412082
Bc_Ga0417192_01_rn16	Bcer	Pairwise with Fjoh	0.210275708
Bc_Ga0417192_01_rn17	Bcer	Pairwise with Fjoh	-0.203199447
Bc_Ga0417192_01_rn18	Bcer	Pairwise with Fjoh	-0.022503793
Bc_Ga0417192_01_rn19	Bcer	Pairwise with Fjoh	0.024835739
Bc_Ga0417192_01_rn20	Bcer	Pairwise with Fjoh	0.100826346
Bc_Ga0417192_01_rn21	Bcer	Pairwise with Fjoh	0.29688092
Bc_Ga0417192_01_rn22	Bcer	Pairwise with Fjoh	0.066268459
Bc_Ga0417192_01_rn23	Bcer	Pairwise with Fjoh	-0.040247636
Bc_Ga0417192_01_rn24	Bcer	Pairwise with Fjoh	-0.155848932
Bc_Ga0417192_01_rn25	Bcer	Pairwise with Fjoh	0.009141987
Bc_Ga0417192_01_rn26	Bcer	Pairwise with Fjoh	-0.015889265
Bc_Ga0417192_01_rn27	Bcer	Pairwise with Fjoh	0.188562145
