"Compounds.ID"	"B1"	"B2"	"B3"	"B4"	"B5"	"BD1"	"BD2"	"BD3"	"BD4"	"BD5"	"BF1"	"BF2"	"BF3"	"BF4"	"BF5"	"BFD1"	"BFD2"	"BFD3"	"BFD4"	"BFD5"	"BFK1"	"BFK2"	"BFK3"	"BFK4"	"BFK5"	"BK1"	"BK2"	"BK3"	"BK4"	"BK5"	"D1"	"D2"	"D3"	"D4"	"D5"	"F1"	"F2"	"F3"	"F4"	"F5"	"FD1"	"FD2"	"FD3"	"FD4"	"FD5"	"FK1"	"FK2"	"FK3"	"FK4"	"FK5"	"K1"	"K2"	"K3"	"K4"	"K5"	"M1"	"M2"	"M3"	"M4"	"M5"	"QC1"	"QC10"	"QC11"	"QC12"	"QC13"	"QC2"	"QC3"	"QC4"	"QC5"	"QC6"	"QC7"	"QC8"	"QC9"
"c1"	3361471655.84055	3141030497.27437	3656054654.11566	3571126674.55018	3346963529.65073	3173341799.24741	3237194169.87053	3697809879.95891	3647547185.19899	3468859669.44194	3657887874.66393	3597505037.11789	2718344865.34933	2868241538.54397	2846447451.80397	3402685450.15335	2845051022.13581	2769112544.06494	3396652356.74148	3243166744.95549	2803087280.80364	2788335503.47159	3775885478.18285	2809006354.29344	2521041951.50604	3489714445.59174	3036843258.27209	3917247407.13095	3267419584.36833	3180065407.01798	3198760563.90978	3606028619.09598	3173935469.35398	3988249623.78645	3624856060.87074	2506999002.80785	2763577845.76827	2279038719.55102	2947755510.40045	2589097983.27838	3304876919.72194	3427692434.82234	3055285400.69619	3743791300.85357	3218122605.26449	3259051885.07377	3085283635.58412	2881701230.01417	3163031239.08295	3369778344.36487	3547499315.20692	4207421950.53859	3744932740.22636	4215771893.91089	3469574968.43085	3477661558.73941	3175998984.23396	2956110445.27675	3594634047.26625	3253913367.73691	4134557656.00496	4215058448.74094	4207707280.19851	4125167280.38917	4107157601.48818	4293796276.32017	4184063598.44458	4230094837.86846	4184523896.64454	4172674018.12983	4176084138.00428	4147081220.23466	4171646476.43449
"c10"	2268930.62730913	472017.441699799	1737809.54724715	2248951.76775416	1309109.10301788	1261159640.77326	1037086294.99247	516386692.698808	870948193.21924	747788001.189691	2395512.4782313	2747233.79179673	895718.292855711	2165984.3624679	3265016.44286278	1291707894.62088	1022417236.17913	648832845.396307	905281588.816176	981885820.528181	969468070.978896	395256987.881924	786089867.293209	690722177.11604	707344980.897345	1132805044.25035	1097967225.2544	727434375.745186	688051363.35583	633661182.641249	921129891.848168	1270332038.93402	924015456.685873	828456396.615752	922218302.512964	3366700.24204729	2304116.03593356	2286759.6247416	1987440.925863	1516127.02746261	919638545.065481	1171785599.60491	1094564819.62397	884191476.270052	1152979011.77856	950068471.211966	1253898390.48163	830085324.115494	969414876.814582	911212876.944073	1022350388.11963	1228058317.27038	1095725413.54819	1124395405.71705	1123658456.76059	1082725.67099134	2750397.74553207	2315943.97289032	1746570.11831905	3082023.169004	887137838.571447	877578614.213023	873949286.829122	871255230.507616	801309488.939036	860940702.558594	953144232.334176	872748910.093845	860350140.04718	860263852.166204	877941005.365636	886919032.686855	874163706.545356
"c100"	122874086.585556	83101534.3384619	145100934.814972	152589727.121114	111690389.586381	183181964.203845	185621622.828825	201651276.400321	237488707.603068	206033298.422283	118301229.358246	128972315.577865	79164552.1780926	92000718.7126305	93857093.3139049	185936189.518056	160122507.65744	180395612.387671	213567202.254549	197465270.752294	172026911.508781	159464708.238544	263721616.376921	114626463.935477	143634634.773145	187023269.367933	183538213.067628	259049959.346147	186388937.854703	201930567.156105	185820414.171161	194203568.985895	170931448.400796	227385515.105203	212459738.919127	89008728.8400172	99474846.1811069	74460859.5016099	107313665.235572	94629058.4663146	192142877.783992	188099954.385182	154023176.797173	298139494.608739	235660138.06849	197950580.829104	205379416.254502	152550277.302172	194815551.742918	157895433.384062	180843159.250373	263999377.030145	247061274.227855	265772493.108258	251999799.544475	167170322.413914	211616240.935086	136907584.580229	288746625.666496	175406445.88543	229964445.400295	232376106.884028	239176597.214859	221994355.798805	229578576.772251	233722238.444073	231762138.608163	232347955.380062	232429396.263668	230519293.920824	234190765.272439	230479187.43019	230811422.128058
"c1000"	25987650.238623	22422227.4506014	22329965.905002	25681430.9108475	23555176.3798179	23819345.670535	27247679.5465157	17458044.8821862	23954341.8081167	25661747.8818788	27513591.5186288	29978139.3757085	27468115.5871454	24411643.2229764	25991261.394214	28316971.4850066	27194791.9849296	28760663.0221883	23160967.229796	25624886.6419429	20913396.5882647	26715715.6004935	22122831.0617871	19851237.8878333	20825710.3834182	21335361.3624181	22735535.6189133	26277521.2287902	24276888.1083388	22880807.6663927	19986212.5100915	17504122.6533947	18434493.7618003	20713995.9543724	19767327.3751235	30432023.0696845	32261826.6010338	29020050.3230335	30063065.739816	27605465.8440234	23489937.9766544	21159995.0904684	21057298.5303644	21522172.3896168	22451174.0227793	21128334.5215218	21028032.9864744	18059250.4904724	19085313.9987022	16734846.5380274	20364021.3627538	20036863.0172264	19656092.4439165	17596077.9881526	19749339.0612147	15598120.2037708	16846519.4249191	18261696.1063713	17266696.951301	17598542.8760686	22698982.1715923	23124139.2385496	23250207.1455199	22796986.8713643	22745813.9145209	23557160.6617137	22147267.7153657	23237729.7933386	22963246.2365592	22582890.696024	22845833.7023436	23095612.3346705	22659245.1520934
"c1002"	11872226.578329	10618439.9985751	12725419.9541305	12080058.523477	12472563.9907381	12985606.6240007	10387765.9063907	13917286.7142586	13665578.1811445	11935489.5195149	11058900.1204562	10724323.149804	7364496.9510092	9904572.39025941	8021551.35136038	11226810.9309103	11050557.2124797	10885420.466886	12363785.9612647	11273492.0483718	14558462.1758381	13025106.5304268	19352208.9581261	13920643.9814767	13455242.1656903	13271831.4713143	11973877.7370296	13782010.3607087	10761903.3272794	10918853.3588227	11878724.1476915	13360735.4705175	12498501.58629	14899545.1283773	12977886.4767067	4315863.06275411	4861295.59441125	3650546.04504055	5836735.55566588	5722446.4230667	12684766.6840452	11974144.1931823	12644311.2063843	11723002.7233846	12547066.541123	14478630.9813735	17689463.9676626	17850391.3752359	14890834.3698757	15894097.8926538	11057421.0912015	14798928.8663507	14144128.9763114	15602069.1766162	13518346.0642526	10643748.1474948	11022683.2421598	11828987.5872343	13935330.4996935	11552588.6520008	16275814.9798932	16418316.784595	16031399.0682054	15673124.9356566	15597435.3801031	15548892.7894106	15907526.1716437	16137449.2571814	15639256.7814553	16164352.9573074	16163325.8052859	16168685.1025279	16331650.8464416
"c1003"	25378712.5759866	19882624.1446729	24885052.2423162	27014203.5603814	23474410.6095831	4377306.6192989	4590185.42980921	19277460.4879337	5509775.48662534	5522155.53125666	25995444.3236624	25735191.1866572	19351628.1380518	20422857.8092259	20630663.3731621	4416612.07860831	3904697.01671126	3071958.2453033	4788632.1082363	4155946.98695693	5385098.03038642	7803067.22021065	13170211.8669028	6101196.31927992	6053446.58047425	5688813.96612764	6510164.8981881	10877145.4699839	8452851.28945401	6403305.20283548	4402904.09046272	4138289.33394369	3455981.67846739	6033416.6576122	5102345.90470435	21011602.9109174	24635114.5119099	22375532.8485358	23738816.0462854	21073448.5000273	4060074.12145091	4153393.38181338	4910387.14966825	5010576.06341521	4551006.38371372	6019481.31488717	5230460.60475905	5686619.586772	6910766.23580465	6560043.44643105	5318708.78721743	7884853.26769565	7601289.44590897	16017583.5154681	8524920.45911982	16953423.9536956	16652490.1005835	16684133.670619	21959295.659634	17279409.2984363	14674989.4682193	15057572.9318529	14692988.4653681	14628049.4890423	14502769.3211782	15124169.7069606	14941849.0969819	15151014.1439868	14857389.5416858	14733908.7615365	14926432.9958466	15146377.9615234	14988189.884923
"c1004"	49925709.6991456	43995265.0985309	48322150.8225904	50048544.2560455	53365822.0580053	13676558.614268	16705422.9122325	21094355.9563554	17398666.2733465	14793734.2446886	47992045.1104096	42855519.6832794	32677768.8649414	39732379.0257129	38432540.8776497	11196764.730808	15144434.3797922	16380552.6821561	18572140.7945808	16082513.5577157	18146242.8028453	17933709.8442571	22867349.220308	17413543.638973	14197958.7657523	18057513.7303655	14605720.9680817	16160862.5079288	14210509.2741381	14799265.8984071	8173166.8111132	18517704.158645	13713834.1397446	13623862.2692827	17548792.0422869	17209191.4216482	19501835.8516695	19762514.5700937	20984947.641647	20854655.1856523	14726964.6881482	17839465.4354543	18728223.5190292	6910155.12350222	18076238.0896364	16652768.910824	17328857.9883453	16427550.6786331	17066415.2830349	16716765.4225263	15396497.2498131	19616108.1878808	19869133.9407088	20424158.2447216	15808522.9016558	17224015.2499757	19337515.1405969	13407681.6974479	18702361.7552923	16883636.0273718	27195378.0273236	27488804.6586311	26919747.0872114	27517119.9093099	26220642.8166041	27549407.0751515	27318343.2537587	27567069.1014495	27483074.6283807	26944840.9064984	27636567.4422239	27362733.1989045	27318805.2555732
"c1005"	13932279.6001037	12069972.0266501	14145727.9065578	13321863.7520525	13386797.693303	13923130.7807269	13853995.3061569	15738460.7406248	16223573.294574	14219076.3945029	12812896.9075088	11396105.2330147	8395622.87711502	10493092.920038	10844360.0279387	13186684.2804187	12228104.4834303	12195338.3742154	14443840.2004566	14048926.8628018	13727264.5648269	11911678.8747787	16408752.7483884	11307634.3738608	11764914.9301555	14296915.3258837	13652405.9095881	15965837.8096631	14047898.8471938	14110584.4044103	14169132.5055349	15762906.2880204	13917462.2263346	15895190.0553312	15635422.7083661	5974707.11562281	6279913.51971649	4754591.5395783	7108351.93163158	6705006.32413139	6297668.69139572	13547900.0859776	12009975.6957323	7862384.44864621	13720788.5351827	5963990.25831304	5965958.04678053	11779122.3403525	12729180.7878735	13799042.9137895	14263144.4088865	15903106.904179	16271857.2224405	15664583.3782675	15441024.8070097	12204954.5451912	12417371.6556654	11704113.4109043	14809075.9358818	13171345.4343505	18097147.3955085	17157996.1437371	17117662.9818685	17163646.8518729	16966519.8048462	17066460.4008589	17294840.9623441	17237098.5640035	17213022.3228449	17391537.6703459	17350846.768016	17250931.3489627	17434390.3159831
"c1007"	4963462.00834522	6534574.58062541	2531188.00973696	4029450.26318971	4611043.39064348	7971950.87222849	5988336.78713367	19599237.9792054	10261515.9336554	14009925.1454987	14711777.7672915	12873486.9062776	2759671.81154034	4118205.35849137	9660313.00169431	10707473.1306281	11050831.6118744	13867637.0475583	13273219.9453442	12024880.9400013	16125772.9775461	20845604.9091652	19623295.7552061	12580848.1009682	13722029.8187847	11672730.0552572	9080789.93161995	17240256.9619114	12129759.9638697	10671176.1829788	36328771.5164636	47951013.4483342	43078586.9590226	52568947.1494301	30393155.6997321	40217326.6462391	41628181.2665146	13177386.3179749	28957317.2398092	10699220.8578289	43238996.6226359	26648259.8470472	38565971.7140019	51808627.7016252	40318264.9655217	46051753.6101843	44748565.3894493	27861521.714553	33219392.1299627	50718689.6883523	45540577.2244669	55114001.1741799	50747902.3024738	51502469.9369588	33643488.7183472	42983131.853463	43144184.6014106	38073247.0880269	3938700.84540984	42556238.7694214	35954915.3749999	36115170.9520648	36193011.1180133	31864004.8964623	37175753.8870839	35107331.4651122	35178524.65367	36571943.5756402	35502734.6417122	35966893.0949629	36217246.0763844	36464480.3773317	35669859.7227625
"c1008"	37538419.8323877	31810531.0722744	32959805.1708649	45023962.1235835	41220611.8957717	12204921.7246519	14987275.6895893	9808677.45191711	8062144.95152659	7793810.5437113	42525226.842935	39810002.7822568	28582521.1345227	31125785.0065835	31227899.7376421	13243040.1006445	15599358.195622	23047566.8478703	11012397.8896893	10527539.9257322	7028449.77500024	19727696.3420963	15770961.55636	7048086.69977764	4254320.28399255	11846251.4184554	6393313.52110132	23058947.027123	5301940.4932591	6374302.98796618	17527164.8280733	23299564.5532955	18251848.7255764	16264561.3191607	21852564.1446246	27991490.5529315	31401421.0271452	27483892.7573985	34906230.3780999	29563575.1724352	24419870.9794536	21444900.4258072	21732023.0020648	22261455.5149382	24358856.5273474	14191459.421045	15159345.4618224	17479133.4505006	17695122.2671031	12727535.7796373	17908590.4643816	22461999.6658909	24370488.1458461	17440759.9414027	19987603.7098251	28943826.6164668	26455698.2891736	28080853.7814474	38777739.6010124	35816831.4060595	30642777.8517201	30704618.214831	29140338.3599689	29867341.8412531	29546521.0635315	30314511.0841708	30542618.6666269	30007892.2875934	29558255.8520334	30317275.2952688	30204573.670496	30069402.3591862	30061634.1243796
