Compounds.ID	B1	B2	B3	B4	B5	BD1	BD2	BD3	BD4	BD5	BF1	BF2	BF3	BF4	BF5	BFD1	BFD2	BFD3	BFD4	BFD5	BFK1	BFK2	BFK3	BFK4	BFK5	BK1	BK2	BK3	BK4	BK5	D1	D2	D3	D4	D5	F1	F2	F3	F4	F5	FD1	FD2	FD3	FD4	FD5	FK1	FK2	FK3	FK4	FK5	K1	K2	K3	K4	K5	M1	M2	M3	M4	M5	QC1	QC10	QC11	QC12	QC13	QC2	QC3	QC4	QC5	QC6	QC7	QC8	QC9
c1	3361471656	3141030497	3656054654	3571126675	3346963530	3173341799	3237194170	3697809880	3647547185	3468859669	3657887875	3597505037	2718344865	2868241539	2846447452	3402685450	2845051022	2769112544	3396652357	3243166745	2803087281	2788335503	3775885478	2809006354	2521041952	3489714446	3036843258	3917247407	3267419584	3180065407	3198760564	3606028619	3173935469	3988249624	3624856061	2506999003	2763577846	2279038720	2947755510	2589097983	3304876920	3427692435	3055285401	3743791301	3218122605	3259051885	3085283636	2881701230	3163031239	3369778344	3547499315	4207421951	3744932740	4215771894	3469574968	3477661559	3175998984	2956110445	3594634047	3253913368	4134557656	4215058449	4207707280	4125167280	4107157601	4293796276	4184063598	4230094838	4184523897	4172674018	4176084138	4147081220	4171646476
c10	2268930.627	472017.4417	1737809.547	2248951.768	1309109.103	1261159641	1037086295	516386692.7	870948193.2	747788001.2	2395512.478	2747233.792	895718.2929	2165984.362	3265016.443	1291707895	1022417236	648832845.4	905281588.8	981885820.5	969468071	395256987.9	786089867.3	690722177.1	707344980.9	1132805044	1097967225	727434375.7	688051363.4	633661182.6	921129891.8	1270332039	924015456.7	828456396.6	922218302.5	3366700.242	2304116.036	2286759.625	1987440.926	1516127.027	919638545.1	1171785600	1094564820	884191476.3	1152979012	950068471.2	1253898390	830085324.1	969414876.8	911212876.9	1022350388	1228058317	1095725414	1124395406	1123658457	1082725.671	2750397.746	2315943.973	1746570.118	3082023.169	887137838.6	877578614.2	873949286.8	871255230.5	801309488.9	860940702.6	953144232.3	872748910.1	860350140	860263852.2	877941005.4	886919032.7	874163706.5
c100	122874086.6	83101534.34	145100934.8	152589727.1	111690389.6	183181964.2	185621622.8	201651276.4	237488707.6	206033298.4	118301229.4	128972315.6	79164552.18	92000718.71	93857093.31	185936189.5	160122507.7	180395612.4	213567202.3	197465270.8	172026911.5	159464708.2	263721616.4	114626463.9	143634634.8	187023269.4	183538213.1	259049959.3	186388937.9	201930567.2	185820414.2	194203569	170931448.4	227385515.1	212459738.9	89008728.84	99474846.18	74460859.5	107313665.2	94629058.47	192142877.8	188099954.4	154023176.8	298139494.6	235660138.1	197950580.8	205379416.3	152550277.3	194815551.7	157895433.4	180843159.3	263999377	247061274.2	265772493.1	251999799.5	167170322.4	211616240.9	136907584.6	288746625.7	175406445.9	229964445.4	232376106.9	239176597.2	221994355.8	229578576.8	233722238.4	231762138.6	232347955.4	232429396.3	230519293.9	234190765.3	230479187.4	230811422.1
c1000	25987650.24	22422227.45	22329965.91	25681430.91	23555176.38	23819345.67	27247679.55	17458044.88	23954341.81	25661747.88	27513591.52	29978139.38	27468115.59	24411643.22	25991261.39	28316971.49	27194791.98	28760663.02	23160967.23	25624886.64	20913396.59	26715715.6	22122831.06	19851237.89	20825710.38	21335361.36	22735535.62	26277521.23	24276888.11	22880807.67	19986212.51	17504122.65	18434493.76	20713995.95	19767327.38	30432023.07	32261826.6	29020050.32	30063065.74	27605465.84	23489937.98	21159995.09	21057298.53	21522172.39	22451174.02	21128334.52	21028032.99	18059250.49	19085314	16734846.54	20364021.36	20036863.02	19656092.44	17596077.99	19749339.06	15598120.2	16846519.42	18261696.11	17266696.95	17598542.88	22698982.17	23124139.24	23250207.15	22796986.87	22745813.91	23557160.66	22147267.72	23237729.79	22963246.24	22582890.7	22845833.7	23095612.33	22659245.15
c1002	11872226.58	10618440	12725419.95	12080058.52	12472563.99	12985606.62	10387765.91	13917286.71	13665578.18	11935489.52	11058900.12	10724323.15	7364496.951	9904572.39	8021551.351	11226810.93	11050557.21	10885420.47	12363785.96	11273492.05	14558462.18	13025106.53	19352208.96	13920643.98	13455242.17	13271831.47	11973877.74	13782010.36	10761903.33	10918853.36	11878724.15	13360735.47	12498501.59	14899545.13	12977886.48	4315863.063	4861295.594	3650546.045	5836735.556	5722446.423	12684766.68	11974144.19	12644311.21	11723002.72	12547066.54	14478630.98	17689463.97	17850391.38	14890834.37	15894097.89	11057421.09	14798928.87	14144128.98	15602069.18	13518346.06	10643748.15	11022683.24	11828987.59	13935330.5	11552588.65	16275814.98	16418316.78	16031399.07	15673124.94	15597435.38	15548892.79	15907526.17	16137449.26	15639256.78	16164352.96	16163325.81	16168685.1	16331650.85
c1003	25378712.58	19882624.14	24885052.24	27014203.56	23474410.61	4377306.619	4590185.43	19277460.49	5509775.487	5522155.531	25995444.32	25735191.19	19351628.14	20422857.81	20630663.37	4416612.079	3904697.017	3071958.245	4788632.108	4155946.987	5385098.03	7803067.22	13170211.87	6101196.319	6053446.58	5688813.966	6510164.898	10877145.47	8452851.289	6403305.203	4402904.09	4138289.334	3455981.678	6033416.658	5102345.905	21011602.91	24635114.51	22375532.85	23738816.05	21073448.5	4060074.121	4153393.382	4910387.15	5010576.063	4551006.384	6019481.315	5230460.605	5686619.587	6910766.236	6560043.446	5318708.787	7884853.268	7601289.446	16017583.52	8524920.459	16953423.95	16652490.1	16684133.67	21959295.66	17279409.3	14674989.47	15057572.93	14692988.47	14628049.49	14502769.32	15124169.71	14941849.1	15151014.14	14857389.54	14733908.76	14926433	15146377.96	14988189.88
c1004	49925709.7	43995265.1	48322150.82	50048544.26	53365822.06	13676558.61	16705422.91	21094355.96	17398666.27	14793734.24	47992045.11	42855519.68	32677768.86	39732379.03	38432540.88	11196764.73	15144434.38	16380552.68	18572140.79	16082513.56	18146242.8	17933709.84	22867349.22	17413543.64	14197958.77	18057513.73	14605720.97	16160862.51	14210509.27	14799265.9	8173166.811	18517704.16	13713834.14	13623862.27	17548792.04	17209191.42	19501835.85	19762514.57	20984947.64	20854655.19	14726964.69	17839465.44	18728223.52	6910155.124	18076238.09	16652768.91	17328857.99	16427550.68	17066415.28	16716765.42	15396497.25	19616108.19	19869133.94	20424158.24	15808522.9	17224015.25	19337515.14	13407681.7	18702361.76	16883636.03	27195378.03	27488804.66	26919747.09	27517119.91	26220642.82	27549407.08	27318343.25	27567069.1	27483074.63	26944840.91	27636567.44	27362733.2	27318805.26
c1005	13932279.6	12069972.03	14145727.91	13321863.75	13386797.69	13923130.78	13853995.31	15738460.74	16223573.29	14219076.39	12812896.91	11396105.23	8395622.877	10493092.92	10844360.03	13186684.28	12228104.48	12195338.37	14443840.2	14048926.86	13727264.56	11911678.87	16408752.75	11307634.37	11764914.93	14296915.33	13652405.91	15965837.81	14047898.85	14110584.4	14169132.51	15762906.29	13917462.23	15895190.06	15635422.71	5974707.116	6279913.52	4754591.54	7108351.932	6705006.324	6297668.691	13547900.09	12009975.7	7862384.449	13720788.54	5963990.258	5965958.047	11779122.34	12729180.79	13799042.91	14263144.41	15903106.9	16271857.22	15664583.38	15441024.81	12204954.55	12417371.66	11704113.41	14809075.94	13171345.43	18097147.4	17157996.14	17117662.98	17163646.85	16966519.8	17066460.4	17294840.96	17237098.56	17213022.32	17391537.67	17350846.77	17250931.35	17434390.32
c1007	4963462.008	6534574.581	2531188.01	4029450.263	4611043.391	7971950.872	5988336.787	19599237.98	10261515.93	14009925.15	14711777.77	12873486.91	2759671.812	4118205.358	9660313.002	10707473.13	11050831.61	13867637.05	13273219.95	12024880.94	16125772.98	20845604.91	19623295.76	12580848.1	13722029.82	11672730.06	9080789.932	17240256.96	12129759.96	10671176.18	36328771.52	47951013.45	43078586.96	52568947.15	30393155.7	40217326.65	41628181.27	13177386.32	28957317.24	10699220.86	43238996.62	26648259.85	38565971.71	51808627.7	40318264.97	46051753.61	44748565.39	27861521.71	33219392.13	50718689.69	45540577.22	55114001.17	50747902.3	51502469.94	33643488.72	42983131.85	43144184.6	38073247.09	3938700.845	42556238.77	35954915.37	36115170.95	36193011.12	31864004.9	37175753.89	35107331.47	35178524.65	36571943.58	35502734.64	35966893.09	36217246.08	36464480.38	35669859.72
c1008	37538419.83	31810531.07	32959805.17	45023962.12	41220611.9	12204921.72	14987275.69	9808677.452	8062144.952	7793810.544	42525226.84	39810002.78	28582521.13	31125785.01	31227899.74	13243040.1	15599358.2	23047566.85	11012397.89	10527539.93	7028449.775	19727696.34	15770961.56	7048086.7	4254320.284	11846251.42	6393313.521	23058947.03	5301940.493	6374302.988	17527164.83	23299564.55	18251848.73	16264561.32	21852564.14	27991490.55	31401421.03	27483892.76	34906230.38	29563575.17	24419870.98	21444900.43	21732023	22261455.51	24358856.53	14191459.42	15159345.46	17479133.45	17695122.27	12727535.78	17908590.46	22461999.67	24370488.15	17440759.94	19987603.71	28943826.62	26455698.29	28080853.78	38777739.6	35816831.41	30642777.85	30704618.21	29140338.36	29867341.84	29546521.06	30314511.08	30542618.67	30007892.29	29558255.85	30317275.3	30204573.67	30069402.36	30061634.12
