Compounds.ID	Name	Tags	Formula	RT_min	Calc_MW
c1498			C25 H48 O3 P2 S	5.384	490.27986
c4653	Bis(methylbenzylidene)sorbitol		C22 H26 O6	12.298	386.17389
c2964			C23 H54 N8 O18	6.398	730.35368
c4659				3.423	1133.57992
c4594			C29 H59 N9 O15 S	6.588	805.3871
c93	Teprotide		C53 H76 N14 O12	7.571	1100.57197
c2364			C58 H82 N2 O2 P2 S3	5.05	996.50108
c1202	Not named		C25 H38 N4 O6	5.744	490.28055
c2608			C19 H35 N5 O5 S	1.234	445.23487
c801	"4-(3-Pyridyl)-2-[(1,3,5-trimethyl-1H-pyrazol-4-yl)thio]pyrimidine"		C15 H15 N5 S	3.281	297.10803
c971				5.033	460.2314
c1204			C32 H46 N5 O5 P S	7.169	643.29638
c359			C15 H34 N7 O4 P	4.836	407.24121
c3742			C31 H52 N7 O5 P3 S	5.146	727.29575
c817				8.123	1524.79932
c2605			C76 H93 N5 O8 P2 S	3.517	1297.6208
c2350	Gombapyrone A		C26 H30 O4	4.734	406.21395
c4892			C18 H43 N8 O8 P	7.531	530.29216
c4776			C24 H52 N8 O14	5.369	676.35857
c129			C69 H106 N8 O15 P2 S	4.751	1380.69627
c2499			C39 H64 N3 O6 P3	5.14	763.40064
c3446	Spliceostatin G		C21 H31 N O6	5.727	393.21543
c2081				5.257	1512.73662
c3780				3.489	1298.62375
c608	"Methyl (2S,2aS,3a'R,4a'R,5aR,12bR,12b'R,12c'R,15aR,15a'S,17a'S)-12c'-hydroxy-10'-methoxy-2',3',4,4a',5,6,8,12c',13,13',14,14',17',17a'-tetradecahydro-4'H,5'H,16'H-spiro[furo[2',3':7,8]indolizino[8,1-c;d]carbazole-2,6'-furo[2',3':7,8]indolizino[8,1-cd]pyrido[1,2,3-lm]carbazole]-7-carboxylate"		C43 H50 N4 O6	4.653	718.37089
c3425				6.731	550.79423
c1035				6.734	1080.60837
c4256				6.923	2170.07253
c842				6.719	1080.60825
c4034				7.217	1012.51261
c4731			C64 H106 N10 O17 P2 S	5.484	1380.69321
c2751			C12 H34 N10 O3 S	5.003	398.25198
c398				7.527	1101.57447
c766				7.098	1262.66322
c527			C31 H46 N2 O6 S	6.177	574.30805
c2192			C35 H64 N8 O8 P2	5.623	786.43238
c701			C18 H42 N5 O4 P S2	4.651	487.24261
c4161				5.92	540.3358
c1314	6a-Naltrexol		C20 H25 N O4	2.329	1029.51877
c603				7.299	993.46343
c2668				5.499	651.32014
c4670			C43 H47 N O6 S	6.778	705.31294
c2262			C33 H57 N6 O6 P3 S	1.225	758.32619
c3275			C42 H69 N8 O4 P3	9.601	842.46587
c684			C38 H66 N7 O8 P3 S	1.22	873.38906
c4426			C25 H35 N5 S2	4.589	469.23195
c3022	"N-{[(1S,4S,6S)-6-Isopropyl-3-methyl-4-{[5-(4-pyridinyl)-1,3,4-oxadiazol-2-yl]methyl}-2-cyclohexen-1-yl]methyl}-2-pyrazinecarboxamide"		C24 H28 N6 O2	3.458	864.46762
c3164			C36 H65 N7 O6 P2	8.159	753.44545
c4749			C23 H51 N10 O11 P	5.932	674.3461
c866				8.264	1526.78255
c4735	"7-Hydroxy-8,14-dimethyl-9-hexadecenoic A"		C18 H34 O3	15.616	298.24996
c4305				0.779	886.47062
c2212				9.987	2185.22192
c1850			C47 H82 N10 O16 S2	7.734	1106.53556
c1760				7.083	2184.0653
c2818			C76 H120 N7 O13 P3 S3	5.729	1527.73224
c2106			C28 H63 N4 O8 P3 S	8.276	708.35875
c2902				5.069	1528.7333
c165			C37 H63 N5 O14	0.799	801.43604
c233			C27 H63 N6 O16 P	7.175	758.40332
c2570			C68 H116 O14	17.258	1156.83628
c3740	Stevioside		C38 H60 O18	5.899	826.36524
c484			C15 H27 N O5	0.825	301.18797
c1307				5.592	1244.6429
c3364				9.534	2123.09238
c712			C29 H47 N3 O10	5.603	597.3241
c2975	Biotin		C10 H16 N2 O3 S	0.998	244.08759
c2887				5.404	674.34497
c3827			C22 H41 N O2	16.334	351.31261
c3997	"N1-(4,4-dimethyl-5-methylidene-1,3-thiazolan-2-yliden)-3-chloro-2-methylaniline"		C13 H15 Cl N2 S	0.87	266.06921
c2928			C33 H59 N7 O7 P2	6.256	727.39316
c3072			C30 H64 N3 O10 P3	5.331	719.38376
c2647			C24 H41 N6 O2 P3	3.003	538.25035
c1199	"(2R,3R,4S,5S,6R)-2-{[(2E)-4-ethenyl-2,5-dimethylhexa-2,5-dien-1-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol"		C16 H26 O6	10.654	296.16103
c3579			C19 H29 N6 O8 P	0.861	500.18063
c1947	Leucocin B-TA33a		C56 H77 N15 O12	3.737	1151.58941
c365				9.559	2086.15533
c378			C24 H49 N10 O4 P3	0.802	634.31291
c2032				8.372	1864.8718
c2618				9.929	2223.16051
c3539				4.814	997.50608
c1013			C30 H60 N7 O5 P3	6.683	691.38937
c3012			C31 H29 N7 O	0.801	515.2412
c4355				7.557	1783.87991
c4472			C83 H123 N4 O14 P3	7.541	1492.82468
c695			C27 H48 N4 O5 S	0.798	540.33667
c3919			C38 H61 N6 O10 P S2	1.219	856.36327
c3564			C12 H22 N4 O3	0.801	270.16832
c1795				9.603	842.80009
c1492			C23 H34 N4 O6	5.103	462.24652
c3980			C17 H34 N3 O6 P	4.389	407.2181
c4633				0.809	1263.61162
c622				5.6	864.47335
c2306				9.619	2548.31721
c1395			C19 H38 N5 O3 P S	0.785	447.24435
c2739				7.081	2037.02882
c2349	Octyl decyl phthalate		C26 H42 O4	16.921	418.30734
c1746	Oximoaspergillimide		C11 H20 N2 O3	5.449	228.14659
c2195				3.465	730.41112
c1751	Norplicacetin		C24 H33 N5 O7	0.796	503.23673
c1909			C25 H62 N9 O10 P3	6.162	741.38621
c1805			C55 H89 N8 O13 P3 S	0.768	1194.54806
c3765	Citreohybridone L		C31 H42 O10	5.156	574.27637
c4292			C37 H66 N4 O11 S2	5.677	806.41647
c3112			C24 H55 N7 O10 P2 S	4.101	695.32262
c4146				10.051	2186.21297
c2224			C54 H70 N3 O2 P3	0.803	885.46796
c4787			C19 H36 O13	5.212	472.21364
c465			C49 H77 N9 O10 P2	0.81	1013.52678
c4781			C33 H64 N10 O15	0.779	840.4553
c4272				7.587	593.8026
c1430	Maniwamycin F		C11 H21 N3 O3	2.148	243.15785
c2296				9.924	2222.15917
c1653			C79 H116 N7 O12 P3 S2	5.488	1511.734
c4614			C39 H70 N9 O10 P S	5.812	887.47147
c4089			C70 H106 N7 O9 P3	5.466	1281.72647
c526	SSR161421		C25 H20 N4 O2	12.553	408.15347
c4679				9.658	2087.14412
c4570			C75 H86 N9 O8 P S	0.777	1303.60581
c4496			C3 H3 N2 O6 P S	19.695	225.94454
c3806				5.338	718.36704
c1705			C18 H41 N3 O4 S2	0.794	427.25386
c4199				7.701	1107.53685
c391				3.606	1282.63021
c1151				6.462	1101.58606
c4590	Tirandamycin G		C22 H31 N O7	5.419	421.21129
c2736			C59 H103 N6 O8 P3 S3	6.974	1212.6201
c3104			C47 H88 N10 O14 S2	6.84	1080.59191
c1650			C39 H74 N3 O16 P S	6.894	903.45229
c2175			C65 H109 N9 O15 P2 S2	5.172	1381.69534
c4891				7.037	1575.79001
c3597	Stevioside		C38 H60 O18	6.105	826.36503
c3730	NNK		C14 H26 N6 O6	1.21	748.39481
c329			C29 H47 N3 O10	5.379	597.3237
c3340	"(2R)-1-[(7Z,10Z,13Z,16Z)-7,10,13,16-Docosatetraenoyloxy]-3-(phosphonooxy)-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate"		C47 H73 O8 P	4.798	796.50548
c1845			C23 H30 N4 O8	0.865	490.2042
c2734			C62 H91 N5 O9 P2	5.134	1111.62856
c2682			C60 H110 N4 O13 S4	8.654	1222.69516
c2267			C48 H74 N10 O12 S	4.594	1014.52325
c3482	NNK		C14 H26 N6 O6	1.25	374.19753
c1944				7.079	2168.07198
c1696			C58 H105 N6 O15 P3 S2	4.186	1282.62928
c1471			C28 H33 N5 O S	0.813	487.2418
c3478			C20 H47 N7 O6 P2 S	3.761	575.27631
c2704			C46 H63 N3 O7 S	3.216	801.43706
c4588			C82 H95 N8 O8 P	7.919	1350.70078
c2813			C59 H105 N8 O7 P	17.334	1068.78403
c2153			C55 H88 N8 O15 P2	0.798	1162.58438
c2423			C16 H37 N7 O8	0.792	455.27334
